threshold,val_dice,val_iou
0.1,0.64543426,0.47648793
0.15000000000000002,0.6473099,0.47853523
0.20000000000000004,0.6484358,0.47976694
0.25000000000000006,0.6487883,0.48015293
0.30000000000000004,0.6485869,0.47993243
0.3500000000000001,0.6481929,0.47950098
0.40000000000000013,0.6474257,0.47866186
0.45000000000000007,0.64628994,0.47742125
0.5000000000000001,0.6449569,0.4759678
0.5500000000000002,0.64341533,0.47429055
0.6000000000000002,0.64147985,0.47219017
0.6500000000000001,0.6387038,0.469188
0.7000000000000002,0.6349011,0.4650953
0.7500000000000002,0.6292909,0.45909876
0.8000000000000002,0.61986125,0.44912967
0.8500000000000002,0.6014219,0.43002382
0.9000000000000002,0.5556643,0.38471964
