epoch,binary_accuracy,dice_coefficient,iou_metric,learning_rate,loss,val_binary_accuracy,val_dice_coefficient,val_iou_metric,val_loss
0,0.9011009335517883,0.0775950700044632,0.04248039424419403,9.999999747378752e-05,1.2837947607040405,0.9712021946907043,0.04261118918657303,0.023898707702755928,1.1733002662658691
1,0.9488304257392883,0.10297839343547821,0.058206845074892044,9.999999747378752e-05,1.1107755899429321,0.9741212129592896,0.0537978857755661,0.031187105923891068,1.0913013219833374
2,0.9528120160102844,0.13414481282234192,0.07830475270748138,9.999999747378752e-05,1.0352321863174438,0.9716088175773621,0.0625077337026596,0.03714730963110924,1.056525707244873
3,0.9523349404335022,0.15676884353160858,0.09356376528739929,9.999999747378752e-05,0.9915753602981567,0.9779459834098816,0.047635894268751144,0.027142854407429695,1.041917324066162
4,0.9572718739509583,0.1824643909931183,0.11180424690246582,9.999999747378752e-05,0.9478246569633484,0.9802071452140808,0.0737914890050888,0.04490143805742264,1.0009801387786865
5,0.9609169363975525,0.20805110037326813,0.13064877688884735,9.999999747378752e-05,0.910208523273468,0.9812093377113342,0.05212242528796196,0.029848996549844742,1.019115686416626
6,0.9635284543037415,0.22045011818408966,0.14246609807014465,9.999999747378752e-05,0.8910967707633972,0.9805194139480591,0.0947921872138977,0.06059049442410469,0.9666016697883606
7,0.9643732905387878,0.23651832342147827,0.15491095185279846,9.999999747378752e-05,0.8721061944961548,0.9823827147483826,0.0661650151014328,0.04016900807619095,1.0012799501419067
8,0.9657325744628906,0.25347036123275757,0.16775284707546234,9.999999747378752e-05,0.8529022932052612,0.984886884689331,0.10317446291446686,0.06790941953659058,0.9491104483604431
9,0.965912401676178,0.2732515335083008,0.18248683214187622,9.999999747378752e-05,0.8319637775421143,0.9844062924385071,0.0906432718038559,0.058359455317258835,0.9621466398239136
10,0.9664913415908813,0.27951812744140625,0.1886768490076065,9.999999747378752e-05,0.8255015015602112,0.981333315372467,0.09610093384981155,0.0627133697271347,0.9611114263534546
11,0.9678722620010376,0.27836158871650696,0.18895207345485687,9.999999747378752e-05,0.8256754279136658,0.9834179282188416,0.0773995891213417,0.04848998039960861,0.9846053719520569
12,0.9684239029884338,0.2920289635658264,0.1989506185054779,9.999999747378752e-05,0.8111869692802429,0.9823369383811951,0.08568335324525833,0.05417923256754875,0.9777825474739075
13,0.9681941270828247,0.29187899827957153,0.19977331161499023,9.999999747378752e-05,0.8119935989379883,0.9842703342437744,0.11036885529756546,0.07312870770692825,0.9421428442001343
14,0.9682901501655579,0.2939055860042572,0.20171460509300232,9.999999747378752e-05,0.8077671527862549,0.9822806715965271,0.07883477956056595,0.049755606800317764,0.9895016551017761
15,0.9693523645401001,0.3009797930717468,0.20721594989299774,9.999999747378752e-05,0.7979179620742798,0.9854615330696106,0.12115567177534103,0.0842045471072197,0.9294021129608154
16,0.9698919653892517,0.29983818531036377,0.2069620043039322,9.999999747378752e-05,0.7974137663841248,0.9856210947036743,0.10501314699649811,0.07148716598749161,0.9502272605895996
17,0.969871997833252,0.30001768469810486,0.20777525007724762,9.999999747378752e-05,0.7991014122962952,0.9842908978462219,0.13283158838748932,0.0934746265411377,0.9202574491500854
18,0.9688960313796997,0.29681068658828735,0.20565196871757507,9.999999747378752e-05,0.8011412620544434,0.9820439219474792,0.09803618490695953,0.06323468685150146,0.9599034190177917
19,0.9700965285301208,0.3100101053714752,0.21658557653427124,9.999999747378752e-05,0.7869903445243835,0.9850280284881592,0.1094902828335762,0.07379651069641113,0.949855387210846
20,0.9707730412483215,0.31755518913269043,0.22266866266727448,9.999999747378752e-05,0.7791152000427246,0.9835853576660156,0.0811232253909111,0.05095496028661728,0.9919798970222473
21,0.9705025553703308,0.3222048878669739,0.22676202654838562,9.999999747378752e-05,0.7730415463447571,0.984626293182373,0.10877537727355957,0.0728970617055893,0.9483901858329773
22,0.9708393812179565,0.30342352390289307,0.21198208630084991,9.999999747378752e-05,0.7934812307357788,0.9837281107902527,0.09498120099306107,0.06269142031669617,0.9726976752281189
23,0.9710096716880798,0.3366214632987976,0.2365228682756424,9.999999747378752e-05,0.7592188119888306,0.9840520620346069,0.13406358659267426,0.09482462704181671,0.9206333756446838
24,0.9715017080307007,0.3305485248565674,0.2336641103029251,4.999999873689376e-05,0.7624267339706421,0.9848706126213074,0.10856536775827408,0.0737013891339302,0.9506070613861084
25,0.9723117351531982,0.32575443387031555,0.22989210486412048,4.999999873689376e-05,0.7648420333862305,0.9846953749656677,0.12136738002300262,0.08428263664245605,0.9345270395278931
26,0.9727003574371338,0.3277575373649597,0.23210081458091736,4.999999873689376e-05,0.7631272077560425,0.9847497940063477,0.12356822937726974,0.08593885600566864,0.9307149648666382
27,0.9718447923660278,0.33077698945999146,0.23409101366996765,4.999999873689376e-05,0.7600755095481873,0.9856863021850586,0.13520580530166626,0.09606942534446716,0.9146375060081482
28,0.9725930094718933,0.3274834156036377,0.23334529995918274,4.999999873689376e-05,0.7614374756813049,0.9852406978607178,0.14046914875507355,0.10143962502479553,0.9072748422622681
29,0.9722213745117188,0.33013129234313965,0.23452772200107574,4.999999873689376e-05,0.7603076696395874,0.9857386946678162,0.12939976155757904,0.09166944772005081,0.9233152270317078
30,0.972305178642273,0.34064701199531555,0.24270176887512207,4.999999873689376e-05,0.7488088607788086,0.9846487045288086,0.1402314305305481,0.10151951760053635,0.9095103740692139
31,0.9728232026100159,0.34406885504722595,0.24506670236587524,4.999999873689376e-05,0.745166540145874,0.9853590130805969,0.11736050248146057,0.0811908096075058,0.9379973411560059
32,0.9725289940834045,0.3399747908115387,0.2405252307653427,4.999999873689376e-05,0.7491679787635803,0.9847020506858826,0.1255129724740982,0.08741232752799988,0.9292939901351929
33,0.9731498956680298,0.33571314811706543,0.23868565261363983,4.999999873689376e-05,0.7517382502555847,0.9856233596801758,0.1329561471939087,0.09593408554792404,0.919243574142456
34,0.9733372330665588,0.3469339907169342,0.248262420296669,4.999999873689376e-05,0.741915225982666,0.9855136871337891,0.12837713956832886,0.09093077480792999,0.9238862991333008
35,0.973339319229126,0.3433355391025543,0.245241180062294,2.499999936844688e-05,0.7448194026947021,0.9854529500007629,0.11823441088199615,0.08244704455137253,0.9399444460868835
36,0.9739159345626831,0.35405290126800537,0.2531690001487732,2.499999936844688e-05,0.7325596213340759,0.9854490160942078,0.11265967786312103,0.0770578533411026,0.9471085071563721
37,0.9736915230751038,0.3367498517036438,0.2395256608724594,2.499999936844688e-05,0.751165509223938,0.9855412244796753,0.1280003935098648,0.09057479351758957,0.9275973439216614
38,0.9731349945068359,0.3427393436431885,0.24514594674110413,2.499999936844688e-05,0.7449380159378052,0.9862011075019836,0.13147053122520447,0.09445566684007645,0.9195255041122437
39,0.9736047983169556,0.3471689820289612,0.24859236180782318,2.499999936844688e-05,0.7387357950210571,0.9860668778419495,0.14065586030483246,0.10181854665279388,0.9084877371788025
40,0.9739784002304077,0.36184608936309814,0.260648638010025,2.499999936844688e-05,0.7234618663787842,0.9855314493179321,0.12922070920467377,0.09233777225017548,0.9277092218399048
41,0.9736699461936951,0.34705686569213867,0.24774537980556488,1.249999968422344e-05,0.7405904531478882,0.9857561588287354,0.1275186836719513,0.09079542011022568,0.9284487366676331
42,0.9742789268493652,0.3546014130115509,0.25533637404441833,1.249999968422344e-05,0.7299649715423584,0.9856429100036621,0.12939152121543884,0.09244310855865479,0.9251465201377869
43,0.9746706485748291,0.3543660640716553,0.2546454966068268,1.249999968422344e-05,0.7315719723701477,0.9853854775428772,0.13382598757743835,0.09490062296390533,0.9224381446838379
44,0.9744137525558472,0.3537040948867798,0.2546748220920563,1.249999968422344e-05,0.7308188676834106,0.9855565428733826,0.12900909781455994,0.0912199318408966,0.928978681564331
45,0.9741129875183105,0.35136285424232483,0.2524752616882324,1.249999968422344e-05,0.7346715331077576,0.9861941337585449,0.12374099344015121,0.08782917261123657,0.9322770237922668
46,0.9743697047233582,0.346309095621109,0.24925176799297333,1.249999968422344e-05,0.7387848496437073,0.9863523244857788,0.1286638379096985,0.09212274104356766,0.9263250827789307
47,0.9744356274604797,0.35788366198539734,0.25939029455184937,6.24999984211172e-06,0.7256675958633423,0.9859357476234436,0.1284319907426834,0.09130395948886871,0.9272096753120422
48,0.9744268655776978,0.3563540279865265,0.256845623254776,6.24999984211172e-06,0.728424608707428,0.9862473011016846,0.12945640087127686,0.09243495762348175,0.9254711866378784
49,0.9748975038528442,0.35718098282814026,0.25779464840888977,6.24999984211172e-06,0.7259299755096436,0.9858735203742981,0.13132454454898834,0.09396081417798996,0.9230367541313171
50,0.9742194414138794,0.364019513130188,0.26192423701286316,6.24999984211172e-06,0.7207490801811218,0.9858752489089966,0.13427086174488068,0.0962374284863472,0.9192728400230408
51,0.9743223190307617,0.35604655742645264,0.257053941488266,6.24999984211172e-06,0.7285894155502319,0.9858769774436951,0.13355818390846252,0.09564345329999924,0.920713484287262
52,0.9740734696388245,0.35124534368515015,0.2544460892677307,6.24999984211172e-06,0.7339953184127808,0.9858819246292114,0.1312078982591629,0.09382346272468567,0.9237204790115356
53,0.9743943810462952,0.34977301955223083,0.25292617082595825,3.12499992105586e-06,0.7352112531661987,0.9859029054641724,0.13392439484596252,0.09616098552942276,0.9195848703384399
54,0.9746015071868896,0.3593730330467224,0.2595909833908081,3.12499992105586e-06,0.7236573100090027,0.9860605597496033,0.13089455664157867,0.0934910997748375,0.9235475063323975
