binary_accuracy,dice_coefficient,iou_metric,loss,val_binary_accuracy,val_dice_coefficient,val_iou_metric,val_loss,learning_rate
0.903846025466919,0.04951370507478714,0.025460388511419296,2.2816851139068604,0.9506081342697144,0.051564671099185944,0.026834743097424507,2.1416642665863037,9.999999747378752e-05
0.9667282104492188,0.056662168353796005,0.02927105315029621,2.1054930686950684,0.9627558588981628,0.05815370753407478,0.03045494481921196,2.0693588256835938,9.999999747378752e-05
0.9543806910514832,0.07156052440404892,0.03732127323746681,2.038522481918335,0.9573102593421936,0.07376211136579514,0.039276447147130966,1.9981411695480347,9.999999747378752e-05
0.9496248364448547,0.09420274198055267,0.04988139495253563,1.9711567163467407,0.9682902693748474,0.08069412410259247,0.04355965554714203,1.954445719718933,9.999999747378752e-05
0.9507782459259033,0.1134527251124382,0.06093636900186539,1.9180028438568115,0.9698404669761658,0.0771794393658638,0.04169486463069916,1.9490803480148315,9.999999747378752e-05
0.954270601272583,0.13799013197422028,0.07529398798942566,1.8585180044174194,0.9584209322929382,0.12777617573738098,0.07155485451221466,1.8726872205734253,9.999999747378752e-05
0.9557611346244812,0.15825408697128296,0.08756779134273529,1.8140897750854492,0.9530488848686218,0.1425662338733673,0.08072447031736374,1.849560022354126,9.999999747378752e-05
0.9579684138298035,0.18495672941207886,0.10398949682712555,1.7584376335144043,0.9590277671813965,0.15414246916770935,0.08888979256153107,1.814357042312622,9.999999747378752e-05
0.9595861434936523,0.1986721307039261,0.11278942972421646,1.7312473058700562,0.9560315012931824,0.16918358206748962,0.09801678359508514,1.7927218675613403,9.999999747378752e-05
0.9595221877098083,0.2104809433221817,0.12023654580116272,1.7094380855560303,0.9533745050430298,0.16744156181812286,0.09718526154756546,1.8095803260803223,9.999999747378752e-05
0.9598246812820435,0.21821919083595276,0.1257140040397644,1.6961530447006226,0.9523534178733826,0.1690136194229126,0.09828615933656693,1.81600022315979,9.999999747378752e-05
0.9609259366989136,0.223597913980484,0.12922076880931854,1.6862491369247437,0.9594650864601135,0.17225396633148193,0.10126246511936188,1.7871860265731812,9.999999747378752e-05
0.961021363735199,0.22904911637306213,0.13330259919166565,1.6773450374603271,0.96242356300354,0.17163603007793427,0.10080420225858688,1.7823747396469116,9.999999747378752e-05
0.9608296751976013,0.23182669281959534,0.13480927050113678,1.6728423833847046,0.9631567001342773,0.19044752418994904,0.11312653869390488,1.742712140083313,9.999999747378752e-05
0.9621626734733582,0.2381189465522766,0.13869450986385345,1.6609231233596802,0.9583975672721863,0.17717516422271729,0.10407287627458572,1.7865631580352783,9.999999747378752e-05
0.9612529277801514,0.24081596732139587,0.14067867398262024,1.6568758487701416,0.9604483246803284,0.18578195571899414,0.1096452921628952,1.763875126838684,9.999999747378752e-05
0.9625858664512634,0.24154850840568542,0.14147578179836273,1.6556004285812378,0.9615685343742371,0.1870667189359665,0.11090832948684692,1.7621632814407349,9.999999747378752e-05
0.9619307518005371,0.2425127923488617,0.1421726793050766,1.6547162532806396,0.9640281796455383,0.18538138270378113,0.10989488661289215,1.7564018964767456,9.999999747378752e-05
0.9632205367088318,0.24729736149311066,0.1449822634458542,1.6428850889205933,0.957794725894928,0.18265216052532196,0.1075315922498703,1.777583360671997,4.999999873689376e-05
0.9625550508499146,0.25579220056533813,0.15097570419311523,1.626747488975525,0.963781476020813,0.184910386800766,0.11017545312643051,1.75709068775177,4.999999873689376e-05
0.9624969363212585,0.24945010244846344,0.14667372405529022,1.63923180103302,0.9624989032745361,0.1923120766878128,0.11473961919546127,1.7477504014968872,4.999999873689376e-05
0.9630597233772278,0.2562265694141388,0.15129493176937103,1.6247930526733398,0.9608160257339478,0.19003021717071533,0.11316470056772232,1.7544498443603516,4.999999873689376e-05
0.9630364179611206,0.25650492310523987,0.15127423405647278,1.624130129814148,0.9636838436126709,0.19188480079174042,0.11417590826749802,1.7442890405654907,2.499999936844688e-05
0.9634795188903809,0.2598794400691986,0.15373831987380981,1.6175178289413452,0.9599833488464355,0.1881762146949768,0.1113620400428772,1.7633607387542725,2.499999936844688e-05
0.9635435938835144,0.25853055715560913,0.15278898179531097,1.6199225187301636,0.9614806771278381,0.19052083790302277,0.1131286695599556,1.752882480621338,2.499999936844688e-05
0.963205873966217,0.26401230692863464,0.15606027841567993,1.609349250793457,0.9621114730834961,0.18521234393119812,0.11012247949838638,1.760848045349121,2.499999936844688e-05
0.9639545679092407,0.2634831964969635,0.15643198788166046,1.6097475290298462,0.9634077548980713,0.19321708381175995,0.11529819667339325,1.7447372674942017,1.249999968422344e-05
0.9638192653656006,0.26327764987945557,0.15615715086460114,1.610256552696228,0.9623931050300598,0.19104214012622833,0.11363416165113449,1.750667691230774,1.249999968422344e-05
0.9640633463859558,0.2670978903770447,0.1581963300704956,1.6019610166549683,0.9645864963531494,0.190031498670578,0.11330816149711609,1.7473211288452148,1.249999968422344e-05
0.9640016555786133,0.2671242952346802,0.15868672728538513,1.602325201034546,0.9635143876075745,0.1936858743429184,0.11547873169183731,1.7425719499588013,1.249999968422344e-05
0.9638292193412781,0.26961132884025574,0.15986910462379456,1.5972716808319092,0.9629637598991394,0.18969595432281494,0.11307542026042938,1.7518125772476196,1.249999968422344e-05
0.9644405245780945,0.2700124680995941,0.1606246531009674,1.5960679054260254,0.9643945693969727,0.18892072141170502,0.11258241534233093,1.751402735710144,1.249999968422344e-05
0.9641135931015015,0.2666369676589966,0.15860401093959808,1.6036430597305298,0.9616382122039795,0.1925450712442398,0.11443684995174408,1.7491408586502075,1.249999968422344e-05
0.9638447761535645,0.266602486371994,0.1583818793296814,1.6031056642532349,0.9636210799217224,0.1924709677696228,0.1148456558585167,1.7441006898880005,1.249999968422344e-05
0.9644903540611267,0.2692202627658844,0.1598450392484665,1.5975441932678223,0.9634497165679932,0.1932728886604309,0.1153854951262474,1.7441259622573853,6.24999984211172e-06
